incident_id,timestamp,location_id,category,severity,description,status
INC0001,2025-12-21 10:47:16,LOC013,Theft,Low,Theft incident reported around LOC013 area.,Dismissed
INC0002,2025-05-17 12:04:18,LOC009,Theft,High,Theft incident reported around LOC009 area.,Pending
INC0003,2025-03-04 17:07:50,LOC003,Burglary,Medium,Burglary incident reported around LOC003 area.,Pending
INC0004,2025-09-15 07:02:18,LOC006,Phone Snatching,Medium,Phone Snatching incident reported around LOC006 area.,Resolved
INC0005,2025-06-05 05:23:20,LOC013,Theft,Low,Theft incident reported around LOC013 area.,Dismissed
INC0006,2025-04-21 04:25:53,LOC015,Burglary,Low,Burglary incident reported around LOC015 area.,Under Investigation
INC0007,2025-01-05 20:59:47,LOC002,Vandalism,Low,Vandalism incident reported around LOC002 area.,Pending
INC0008,2025-08-07 21:59:48,LOC015,Burglary,Medium,Burglary incident reported around LOC015 area.,Resolved
INC0009,2025-12-25 14:38:58,LOC013,Phone Snatching,Medium,Phone Snatching incident reported around LOC013 area.,Pending
INC0010,2025-08-08 13:06:51,LOC015,Theft,High,Theft incident reported around LOC015 area.,Under Investigation
INC0011,2025-08-11 10:46:02,LOC010,Burglary,Medium,Burglary incident reported around LOC010 area.,Under Investigation
INC0012,2025-07-05 16:35:28,LOC015,Phone Snatching,Medium,Phone Snatching incident reported around LOC015 area.,Dismissed
INC0013,2025-07-25 10:34:03,LOC011,Theft,Low,Theft incident reported around LOC011 area.,Under Investigation
INC0014,2025-10-10 14:36:11,LOC005,Phone Snatching,Medium,Phone Snatching incident reported around LOC005 area.,Dismissed
INC0015,2025-01-08 02:12:52,LOC005,Assault,High,Assault incident reported around LOC005 area.,Under Investigation
INC0016,2025-05-14 23:48:40,LOC015,Vandalism,Low,Vandalism incident reported around LOC015 area.,Dismissed
INC0017,2025-01-12 17:13:19,LOC011,Phone Snatching,Medium,Phone Snatching incident reported around LOC011 area.,Under Investigation
INC0018,2025-04-23 14:11:39,LOC011,Burglary,Medium,Burglary incident reported around LOC011 area.,Under Investigation
INC0019,2025-09-21 04:04:11,LOC001,Assault,Low,Assault incident reported around LOC001 area.,Pending
INC0020,2025-11-18 04:27:09,LOC001,Theft,Critical,Theft incident reported around LOC001 area.,Pending
INC0021,2025-11-02 18:45:56,LOC011,Theft,Low,Theft incident reported around LOC011 area.,Pending
INC0022,2025-04-01 09:53:27,LOC009,Burglary,Low,Burglary incident reported around LOC009 area.,Under Investigation
INC0023,2025-01-01 17:36:13,LOC014,Assault,Low,Assault incident reported around LOC014 area.,Dismissed
INC0024,2025-03-17 21:38:37,LOC008,Assault,Medium,Assault incident reported around LOC008 area.,Resolved
INC0025,2025-07-28 03:03:32,LOC012,Phone Snatching,Low,Phone Snatching incident reported around LOC012 area.,Pending
INC0026,2025-10-13 22:16:20,LOC014,Phone Snatching,Low,Phone Snatching incident reported around LOC014 area.,Resolved
INC0027,2025-01-13 18:39:26,LOC009,Theft,Medium,Theft incident reported around LOC009 area.,Resolved
INC0028,2025-09-04 07:50:27,LOC014,Burglary,Low,Burglary incident reported around LOC014 area.,Under Investigation
INC0029,2025-10-10 14:48:28,LOC015,Theft,Medium,Theft incident reported around LOC015 area.,Pending
INC0030,2025-03-09 01:17:55,LOC006,Theft,Medium,Theft incident reported around LOC006 area.,Under Investigation
INC0031,2025-01-11 04:11:45,LOC007,Burglary,High,Burglary incident reported around LOC007 area.,Resolved
INC0032,2025-08-08 14:20:10,LOC010,Trespassing,High,Trespassing incident reported around LOC010 area.,Resolved
INC0033,2025-01-06 23:34:46,LOC010,Burglary,Medium,Burglary incident reported around LOC010 area.,Dismissed
INC0034,2025-07-29 08:34:25,LOC001,Assault,Critical,Assault incident reported around LOC001 area.,Pending
INC0035,2025-02-10 17:24:32,LOC009,Phone Snatching,Low,Phone Snatching incident reported around LOC009 area.,Dismissed
INC0036,2025-10-06 10:55:53,LOC001,Phone Snatching,Medium,Phone Snatching incident reported around LOC001 area.,Dismissed
INC0037,2025-07-12 11:31:43,LOC009,Assault,Medium,Assault incident reported around LOC009 area.,Pending
INC0038,2025-07-06 18:42:44,LOC008,Burglary,Medium,Burglary incident reported around LOC008 area.,Under Investigation
INC0039,2025-02-19 19:31:57,LOC004,Theft,Medium,Theft incident reported around LOC004 area.,Dismissed
INC0040,2025-02-24 04:30:18,LOC013,Trespassing,Medium,Trespassing incident reported around LOC013 area.,Pending
INC0041,2025-09-18 11:25:55,LOC008,Burglary,Low,Burglary incident reported around LOC008 area.,Under Investigation
INC0042,2025-06-12 05:50:42,LOC005,Vandalism,Low,Vandalism incident reported around LOC005 area.,Under Investigation
INC0043,2025-01-08 17:54:37,LOC011,Theft,Medium,Theft incident reported around LOC011 area.,Under Investigation
INC0044,2025-06-29 18:53:00,LOC002,Vandalism,Medium,Vandalism incident reported around LOC002 area.,Resolved
INC0045,2025-10-06 13:34:16,LOC011,Theft,Low,Theft incident reported around LOC011 area.,Pending
INC0046,2025-01-19 01:11:02,LOC002,Phone Snatching,Low,Phone Snatching incident reported around LOC002 area.,Under Investigation
INC0047,2025-04-11 12:11:50,LOC003,Trespassing,Low,Trespassing incident reported around LOC003 area.,Under Investigation
INC0048,2025-06-20 04:28:39,LOC006,Vandalism,Medium,Vandalism incident reported around LOC006 area.,Pending
INC0049,2025-02-14 21:17:34,LOC007,Theft,Medium,Theft incident reported around LOC007 area.,Under Investigation
INC0050,2025-02-10 01:59:35,LOC011,Burglary,Medium,Burglary incident reported around LOC011 area.,Pending
INC0051,2025-08-18 21:26:30,LOC002,Theft,Medium,Theft incident reported around LOC002 area.,Under Investigation
INC0052,2025-02-14 06:40:09,LOC013,Burglary,Low,Burglary incident reported around LOC013 area.,Dismissed
INC0053,2025-03-23 11:09:51,LOC004,Burglary,Low,Burglary incident reported around LOC004 area.,Resolved
INC0054,2025-04-24 22:20:58,LOC001,Phone Snatching,Low,Phone Snatching incident reported around LOC001 area.,Resolved
INC0055,2025-11-26 11:58:48,LOC007,Theft,Low,Theft incident reported around LOC007 area.,Resolved
INC0056,2025-12-19 10:56:44,LOC001,Theft,Medium,Theft incident reported around LOC001 area.,Resolved
INC0057,2025-01-16 19:27:16,LOC015,Burglary,Low,Burglary incident reported around LOC015 area.,Resolved
INC0058,2025-08-26 12:32:57,LOC006,Theft,Low,Theft incident reported around LOC006 area.,Dismissed
INC0059,2025-07-19 19:25:47,LOC013,Theft,High,Theft incident reported around LOC013 area.,Pending
INC0060,2025-06-09 11:38:20,LOC014,Theft,Low,Theft incident reported around LOC014 area.,Dismissed
INC0061,2025-06-23 13:12:14,LOC015,Theft,Low,Theft incident reported around LOC015 area.,Pending
INC0062,2025-05-20 08:49:59,LOC004,Theft,High,Theft incident reported around LOC004 area.,Resolved
INC0063,2025-02-06 01:31:16,LOC010,Theft,High,Theft incident reported around LOC010 area.,Pending
INC0064,2025-11-14 15:56:52,LOC008,Burglary,Medium,Burglary incident reported around LOC008 area.,Dismissed
INC0065,2025-07-30 21:19:21,LOC002,Vandalism,Medium,Vandalism incident reported around LOC002 area.,Resolved
INC0066,2025-10-04 02:47:11,LOC010,Theft,Medium,Theft incident reported around LOC010 area.,Under Investigation
INC0067,2025-01-14 09:37:25,LOC002,Theft,High,Theft incident reported around LOC002 area.,Dismissed
INC0068,2025-02-17 16:02:02,LOC011,Trespassing,Critical,Trespassing incident reported around LOC011 area.,Under Investigation
INC0069,2025-09-08 19:02:37,LOC007,Theft,Low,Theft incident reported around LOC007 area.,Under Investigation
INC0070,2025-01-22 23:19:54,LOC012,Theft,Medium,Theft incident reported around LOC012 area.,Resolved
INC0071,2025-09-07 21:23:02,LOC014,Theft,High,Theft incident reported around LOC014 area.,Resolved
INC0072,2025-07-16 13:26:19,LOC008,Theft,Low,Theft incident reported around LOC008 area.,Dismissed
INC0073,2025-11-28 19:21:33,LOC004,Phone Snatching,Critical,Phone Snatching incident reported around LOC004 area.,Under Investigation
INC0074,2025-06-12 20:59:57,LOC006,Theft,High,Theft incident reported around LOC006 area.,Pending
INC0075,2025-06-14 14:05:08,LOC004,Theft,Low,Theft incident reported around LOC004 area.,Dismissed
INC0076,2025-01-17 10:44:43,LOC003,Burglary,Low,Burglary incident reported around LOC003 area.,Under Investigation
INC0077,2025-07-06 05:05:49,LOC007,Trespassing,Low,Trespassing incident reported around LOC007 area.,Dismissed
INC0078,2025-05-22 08:58:06,LOC006,Theft,High,Theft incident reported around LOC006 area.,Dismissed
INC0079,2025-03-20 15:23:23,LOC013,Assault,Low,Assault incident reported around LOC013 area.,Resolved
INC0080,2025-04-10 23:15:17,LOC002,Theft,High,Theft incident reported around LOC002 area.,Under Investigation
INC0081,2025-10-17 20:00:46,LOC008,Phone Snatching,High,Phone Snatching incident reported around LOC008 area.,Resolved
INC0082,2025-08-11 00:05:10,LOC014,Trespassing,Medium,Trespassing incident reported around LOC014 area.,Pending
INC0083,2025-08-27 10:18:33,LOC005,Vandalism,High,Vandalism incident reported around LOC005 area.,Dismissed
INC0084,2025-11-19 21:56:22,LOC003,Burglary,Medium,Burglary incident reported around LOC003 area.,Dismissed
INC0085,2025-11-10 01:10:06,LOC005,Theft,High,Theft incident reported around LOC005 area.,Dismissed
INC0086,2025-11-18 12:58:03,LOC008,Burglary,High,Burglary incident reported around LOC008 area.,Dismissed
